FIELD,YEAR,MONTH,PRODUCTION
's-Gravenzande,2003,APR,64143.051660000005
's-Gravenzande,2003,AUG,39713.33009
's-Gravenzande,2003,DEC,121412.27718
's-Gravenzande,2003,FEB,112208.143805
's-Gravenzande,2003,JAN,125411.459945
's-Gravenzande,2003,JUL,36961.056855
's-Gravenzande,2003,JUN,38869.39809
's-Gravenzande,2003,MAR,95113.24623
's-Gravenzande,2003,MAY,39259.71664
's-Gravenzande,2003,NOV,121411.222265
's-Gravenzande,2003,OCT,103189.67547
's-Gravenzande,2003,SEP,71015.822885
's-Gravenzande,2004,APR,77124.35460876
's-Gravenzande,2004,AUG,35166.677032535
's-Gravenzande,2004,DEC,78737.327028165
's-Gravenzande,2004,FEB,100747.143212555
's-Gravenzande,2004,JAN,121425.743169975
's-Gravenzande,2004,JUL,29355.378159175
's-Gravenzande,2004,JUN,108274.73710008
's-Gravenzande,2004,MAR,95152.283359575
's-Gravenzande,2004,MAY,88321.964024005
's-Gravenzande,2004,NOV,72473.04237923
's-Gravenzande,2004,OCT,78734.691850495
's-Gravenzande,2004,SEP,54872.223393955006
's-Gravenzande,2005,APR,56961.69669920001
's-Gravenzande,2005,AUG,1234.4805214700002
's-Gravenzande,2005,DEC,56439.75745956501
's-Gravenzande,2005,FEB,61781.213015650006
's-Gravenzande,2005,JAN,66646.79957998
's-Gravenzande,2005,JUL,13211.081369315
's-Gravenzande,2005,JUN,1297.6435570950002
's-Gravenzande,2005,MAR,63829.231326140005
's-Gravenzande,2005,MAY,15829.407827105002
's-Gravenzande,2005,NOV,46277.25596028
's-Gravenzande,2005,OCT,22118.17494336
's-Gravenzande,2005,SEP,10885.91895477
's-Gravenzande,2006,APR,30265.16955754
's-Gravenzande,2006,AUG,233.20161973000003
's-Gravenzande,2006,DEC,31876.31380925
's-Gravenzande,2006,FEB,64332.188425265
's-Gravenzande,2006,JAN,58536.964346675006
's-Gravenzande,2006,JUL,1829.449416725
's-Gravenzande,2006,JUN,0.0
's-Gravenzande,2006,MAR,68420.72987517
's-Gravenzande,2006,MAY,12772.0457897
's-Gravenzande,2006,NOV,27879.23665459
's-Gravenzande,2006,OCT,10392.16598902
's-Gravenzande,2006,SEP,7952.544242060001
's-Gravenzande,2007,APR,42952.466640885
's-Gravenzande,2007,AUG,27872.21725018
's-Gravenzande,2007,DEC,42620.400497185
's-Gravenzande,2007,FEB,50435.432349335
's-Gravenzande,2007,JAN,46331.315079455
's-Gravenzande,2007,JUL,40201.59327809
's-Gravenzande,2007,JUN,43550.01163857
's-Gravenzande,2007,MAR,52263.800478185
's-Gravenzande,2007,MAY,18644.852537050003
's-Gravenzande,2007,NOV,42723.674565855006
's-Gravenzande,2007,OCT,38583.84525848
's-Gravenzande,2007,SEP,44215.073306085
's-Gravenzande,2008,APR,20526.620463200004
's-Gravenzande,2008,AUG,30147.52543674
's-Gravenzande,2008,DEC,29439.45382976
's-Gravenzande,2008,FEB,33667.765187675
's-Gravenzande,2008,JAN,40854.94855385
's-Gravenzande,2008,JUL,15109.26482778
's-Gravenzande,2008,JUN,30469.416925265003
's-Gravenzande,2008,MAR,32708.552076475004
's-Gravenzande,2008,MAY,33816.109444805
's-Gravenzande,2008,NOV,29225.74703923
's-Gravenzande,2008,OCT,6645.44970148
's-Gravenzande,2008,SEP,21471.850676075
's-Gravenzande,2009,APR,0.0
's-Gravenzande,2009,AUG,17481.88681326
's-Gravenzande,2009,DEC,23586.53433999
's-Gravenzande,2009,FEB,23911.03674314
's-Gravenzande,2009,JAN,28483.240896820003
's-Gravenzande,2009,JUL,28662.69248747
's-Gravenzande,2009,JUN,28223.221227960003
's-Gravenzande,2009,MAR,24267.84486325
's-Gravenzande,2009,MAY,22480.248144235
's-Gravenzande,2009,NOV,23607.59466305
's-Gravenzande,2009,OCT,20616.623701170003
's-Gravenzande,2009,SEP,17318.072227655
's-Gravenzande,2010,APR,12667.200952595
's-Gravenzande,2010,AUG,9144.502194795
's-Gravenzande,2010,DEC,15596.26000804
's-Gravenzande,2010,FEB,20215.577720535
's-Gravenzande,2010,JAN,22778.232094115
's-Gravenzande,2010,JUL,16329.827855655
's-Gravenzande,2010,JUN,18485.58358018
's-Gravenzande,2010,MAR,21198.409323670003
's-Gravenzande,2010,MAY,18855.89883195
's-Gravenzande,2010,NOV,18150.127994585
's-Gravenzande,2010,OCT,12726.09580213
's-Gravenzande,2010,SEP,16898.282517300002
