YEAR,FIELD,PRODUCTION,delta_prod
2003,'s-Gravenzande,968708.401115,0
2003,Ameland-Noord,0.0,0
2003,Ameland-Oost,576744.1837149997,0
2003,Ameland-Westgat,275578.610195,0
2003,Anjum,1193220.68599,0
2003,Annerveen,485866.4212100002,0
2003,Appelscha,240963.6843,0
2003,Barendrecht,41518.289655,0
2003,Barendrecht-Ziedewij,214528.56931500003,0
2003,Bedum,353750.97643999994,0
2003,Bergen,86074.125824045,0
2003,Bergermeer,214644.57831754992,0
2003,Berkel,3752.738797275,0
2003,Blija-Ferwerderadeel,19237.42994,0
2003,Blija-Zuidoost,71598.135965,0
2003,Blijham,91541.30404,0
2003,Boerakker,312061.790555,0
2003,Botlek,535114.07307,0
2003,Bozum,1845.58223182,0
2003,Castricum-Zee,19995.758752495003,0
2003,Coevorden,679375.809150001,0
2003,Collendoornerveen,7961.443504999999,0
2003,D15a-A,419528.09143500007,0
2003,Dalen,168476.25499000007,0
2003,De Blesse,111163.90243497,0
2003,De Lutte,0.0,0
2003,De Wijk,347934.17513000005,0
2003,Den Velde,19641.462385,0
2003,Eleveld,85523.01396500002,0
2003,Emmen,40498.18685,0
2003,Emmen-Nieuw Amsterdam,38045.509475,0
2003,Engwierum,40307.247235,0
2003,Ezumazijl,68475.587565,0
2003,F02a-Hanze,136943.95740157002,0
2003,F03-FB,856958.0999142348,0
2003,F15a-A,96309.52616949,0
2003,Feerwerd,33056.81644,0
2003,Franeker,0.0,0
2003,G17cd-A,434624.98,0
2003,Gaag,249292.238225,0
2003,Groet,79115.13745101,0
2003,Groningen,30634937.308424983,0
2003,Grootegast,225864.685905,0
2003,Grouw-Rauwerd,20045.080248405,0
2003,Halfweg,84581.54663393,0
2003,Hardenberg,334258.25706999993,0
2003,Harlingen Lower Cretaceous,5212.59663392,0
2003,Harlingen Upper Cretaceous,0.0,0
2003,Haven,533.975819785,0
2003,Helder,4614.168672379999,0
2003,Helm,2882.17757793,0
2003,Hoogenweg,1416.7508449999998,0
2003,Hoorn,1251.982616235,0
2003,Horizon,4589.028993014999,0
2003,Houwerzijl,6991.976620000001,0
2003,J03-C Unit,295629.832158535,0
2003,K01-A Unit,819038.0810178049,0
2003,K04-A,59187.254039445,0
2003,K04-E,64460.479803160015,0
2003,K04-N,321670.33192474005,0
2003,K04a-B,0.0,0
2003,K05a-A,602817.26664081,0
2003,K05a-B,137580.29267872,0
