,FIELD,PRODUCTION
0,'s-Gravenzande,4595000.0
1,A12-FA,7327000.0
2,A18-FA,3594000.0
3,Ameland-Noord,0.0
4,Ameland-Oost,6380000.0
5,Ameland-Westgat,3050000.0
6,Andel-6 (Wijk & Aalburg),31000.0
7,Anjum,5696000.0
8,Annerveen,4303000.0
9,Appelscha,562000.0
10,Assen,252000.0
11,Assen-Zuid,0.0
12,B13-FA,4639000.0
13,Barendrecht,204000.0
14,Barendrecht-Ziedewij,830000.0
15,Bedum,6274000.0
16,Bergen,659000.0
17,Bergermeer,544000.0
18,Berkel,40000.0
19,Blesdijke,39000.0
20,Blija-Ferwerderadeel,699000.0
21,Blija-Zuid,357000.0
22,Blija-Zuidoost,1466000.0
23,Blijham,650000.0
24,Boekel,0.0
25,Boerakker,1440000.0
26,Botlek,6029000.0
27,Bozum,14000.0
28,Brakel,199000.0
29,Burum-Oost,1000.0
30,Castricum-Zee,29000.0
31,Coevorden,5361000.0
32,Collendoorn,186000.0
33,Collendoornerveen,92000.0
34,D12-A,2831000.0
35,D12-B,1071000.0
36,D15a-A,770000.0
37,D15a-A104,732000.0
38,D18a-A,291000.0
39,Dalen,1294000.0
40,De Blesse,742000.0
41,De Hoeve,57000.0
42,De Klem,46000.0
43,De Lier,61000.0
44,De Lutte,0.0
45,De Wijk,3169000.0
46,Den Velde,403000.0
47,Diever,1916000.0
48,Donkerbroek-Main,11000.0
49,Donkerbroek-West,78000.0
50,E17a-A,9676000.0
51,E18-A,395000.0
52,Een,131000.0
53,Eernewoude,182000.0
54,Eesveen,471000.0
55,Eleveld,1736000.0
56,Emmen,1126000.0
57,Emmen-Nieuw Amsterdam,402000.0
58,Engwierum,40000.0
59,Ezumazijl,502000.0
60,F02a-Hanze,737000.0
61,F02a-Pliocene,438000.0
62,F03-FA,2445000.0
63,F03-FB,7223000.0
64,F15a-A,1014000.0
65,F15a-B,1358000.0
66,F16-E,4536000.0
67,Faan,596000.0
68,Feerwerd,238000.0
69,Franeker,7000.0
70,G14-A&B,5050000.0
71,G14-C,522000.0
72,G16a-A,2381000.0
73,G16a-B,2938000.0
74,G16a-C,2307000.0
75,G16a-D,1296000.0
76,G17a-S1,2169000.0
77,G17cd-A,3065000.0
78,Gaag,2732000.0
79,Gasselternijveen,507000.0
80,Geesbrug,336000.0
81,Geestvaartpolder,586000.0
82,Grijpskerk,0.0
83,Groet,570000.0
84,Groet-Oost,814000.0
85,Grolloo,158000.0
86,Groningen,638794000.0
87,Grootegast,1798000.0
88,Grouw-Rauwerd,94000.0
89,Halfweg,301000.0
90,Hardenberg,2635000.0
91,Hardenberg-Oost,203000.0
92,Harkema,427000.0
93,Harlingen Lower Cretaceous,13000.0
94,Harlingen Upper Cretaceous,274000.0
95,Haven,8000.0
