FIELD,YEAR,PRODUCTION,YOY_DELTA
's-Gravenzande,2003,968708.401115,
's-Gravenzande,2004,940385.565318505,-28322.83579649497
's-Gravenzande,2005,416512.66121393,-523872.90410457505
's-Gravenzande,2006,314490.00972572505,-102022.65148820495
's-Gravenzande,2007,490394.6828793551,175904.67315363005
's-Gravenzande,2008,324082.704162335,-166311.97871702007
's-Gravenzande,2009,258638.99610800002,-65443.708054335
's-Gravenzande,2010,203045.99887555,-55592.99723245003
's-Gravenzande,2011,118279.908576265,-84766.09029928499
's-Gravenzande,2012,164373.80870548,46093.900129215006
's-Gravenzande,2013,101129.05198017499,-63244.75672530502
's-Gravenzande,2014,64956.53670327001,-36172.51527690498
's-Gravenzande,2015,27189.858141410004,-37766.678561860004
's-Gravenzande,2016,58531.257256525,31341.399115114997
's-Gravenzande,2017,41551.77476693,-16979.482489595
's-Gravenzande,2018,38986.92089557499,-2564.853871355008
's-Gravenzande,2019,41025.147485035,2038.226589460006
's-Gravenzande,2020,7995.782043165,-33029.36544187
's-Gravenzande,2021,14506.379,6510.596956835001
A12-FA,2007,7977.96715766318,
A12-FA,2008,1157201.8622412106,1149223.8950835476
A12-FA,2009,1254666.7317322276,97464.86949101696
A12-FA,2010,1000553.271072845,-254113.46065938263
A12-FA,2011,872840.1026384949,-127713.16843435005
A12-FA,2012,545530.110730555,-327309.9919079399
A12-FA,2013,429666.46386348986,-115863.64686706517
A12-FA,2014,392788.4994982952,-36877.96436519467
A12-FA,2015,310849.61199154495,-81938.88750675024
A12-FA,2016,174812.30867112993,-136037.30332041503
A12-FA,2017,153702.31177361,-21109.996897519915
A12-FA,2018,232291.88846179005,78589.57668818004
A12-FA,2019,285428.01397719997,53136.12551540992
A12-FA,2020,279258.549308125,-6169.46466907498
A12-FA,2021,228959.12900000002,-50299.42030812497
A18-FA,2015,537.72182295,
A18-FA,2016,537043.5980531151,536505.876230165
A18-FA,2017,683684.9175026801,146641.31944956502
A18-FA,2018,691338.685553695,7653.768051014864
A18-FA,2019,686557.9099357051,-4780.775617989828
A18-FA,2020,629135.8240674599,-57422.08586824522
A18-FA,2021,366025.66900000005,-263110.15506745985
Ameland-Noord,2003,0.0,
Ameland-Noord,2004,0.0,0.0
Ameland-Noord,2005,0.0,0.0
Ameland-Noord,2006,0.0,0.0
Ameland-Noord,2007,0.0,0.0
Ameland-Noord,2008,0.0,0.0
Ameland-Oost,2003,576744.1837149997,
Ameland-Oost,2004,620894.6751247849,44150.49140978523
Ameland-Oost,2005,564929.4743427149,-55965.20078207005
Ameland-Oost,2006,399313.18886006495,-165616.28548264992
Ameland-Oost,2007,432974.34606017993,33661.157200114976
Ameland-Oost,2008,390127.47430096514,-42846.87175921479
Ameland-Oost,2009,346054.9442744248,-44072.530026540335
Ameland-Oost,2010,423327.18319737515,77272.23892295035
Ameland-Oost,2011,351109.27095597994,-72217.91224139521
Ameland-Oost,2012,297480.30181155005,-53628.969144429895
Ameland-Oost,2013,288683.168357445,-8797.13345410506
Ameland-Oost,2014,279289.7199365449,-9393.448420900095
Ameland-Oost,2015,241666.3716208199,-37623.34831572499
Ameland-Oost,2016,241094.12348483488,-572.2481359850208
Ameland-Oost,2017,220623.04429638505,-20471.079188449832
Ameland-Oost,2018,206457.936832925,-14165.107463460037
Ameland-Oost,2019,174480.17184812506,-31977.764984799956
Ameland-Oost,2020,210076.04421315494,35595.87236502988
Ameland-Oost,2021,115071.186,-95004.85821315493
Ameland-Westgat,2003,275578.610195,
Ameland-Westgat,2004,260715.00342327,-14863.606771730003
Ameland-Westgat,2005,205831.720300455,-54883.28312281502
Ameland-Westgat,2006,220183.507632145,14351.787331689993
Ameland-Westgat,2007,189026.06670455998,-31157.440927585005
Ameland-Westgat,2008,250523.263899845,61497.19719528503
Ameland-Westgat,2009,180036.25302570505,-70487.01087413996
Ameland-Westgat,2010,177527.38349339998,-2508.869532305078
Ameland-Westgat,2011,205993.25415983,28465.87066643001
Ameland-Westgat,2012,186137.347598715,-19855.906561115
Ameland-Westgat,2013,142869.57952331,-43267.76807540498
Ameland-Westgat,2014,124726.93615065004,-18142.643372659964
Ameland-Westgat,2015,122164.94320877499,-2561.9929418750544
Ameland-Westgat,2016,110676.73319373504,-11488.21001503995
Ameland-Westgat,2017,94432.40303408503,-16244.33015965001
Ameland-Westgat,2018,98735.96886335497,4303.565829269937
Ameland-Westgat,2019,66956.154458645,-31779.814404709963
Ameland-Westgat,2020,62785.166126915006,-4170.988331729997
Ameland-Westgat,2021,74651.08899999999,11865.922873084986
Andel-6 (Wijk & Aalburg),2010,2005.6676929,
Andel-6 (Wijk & Aalburg),2011,17500.967060865,15495.299367965
Andel-6 (Wijk & Aalburg),2012,6838.5497824,-10662.417278465
Andel-6 (Wijk & Aalburg),2013,4890.49099765,-1948.05878475
Andel-6 (Wijk & Aalburg),2014,0.0,-4890.49099765
Andel-6 (Wijk & Aalburg),2015,0.0,0.0
Andel-6 (Wijk & Aalburg),2016,0.0,0.0
Andel-6 (Wijk & Aalburg),2017,0.0,0.0
Andel-6 (Wijk & Aalburg),2018,0.0,0.0
Andel-6 (Wijk & Aalburg),2019,0.0,0.0
Andel-6 (Wijk & Aalburg),2020,0.0,0.0
Andel-6 (Wijk & Aalburg),2021,0.0,0.0
Anjum,2003,1193220.68599,
Anjum,2004,930923.2773643649,-262297.40862563497
Anjum,2005,703623.5621021601,-227299.71526220487
Anjum,2006,507523.71011935006,-196099.85198281
Anjum,2007,432047.55048692995,-75476.15963242011
Anjum,2008,470110.67071294005,38063.1202260101
Anjum,2009,291904.09602051496,-178206.57469242509
Anjum,2010,281757.36761031003,-10146.72841020493
Anjum,2011,256133.72383584507,-25623.64377446496
Anjum,2012,158289.82590868502,-97843.89792716005
Anjum,2013,121502.32577931501,-36787.500129370004
Anjum,2014,59720.245623535004,-61782.08015578001
Anjum,2015,72057.575710545,12337.33008701
Anjum,2016,85267.13167277,13209.555962225
Anjum,2017,16839.33175727,-68427.7999155
Anjum,2018,0.0,-16839.33175727
Anjum,2019,0.0,0.0
Anjum,2020,45465.644446050006,45465.644446050006
Anjum,2021,69350.304,23884.659553949998
Annerveen,2003,485866.4212100002,
Annerveen,2004,601620.2282174352,115753.80700743501
Annerveen,2005,464330.5224246151,-137289.70579282008
Annerveen,2006,329168.2130763747,-135162.30934824038
Annerveen,2007,389329.23172452976,60161.01864815503
Annerveen,2008,287270.6435019353,-102058.58822259447
