WELL,YEAR,PRODUCTION,YOY_DELTA
'S-GRAVENZANDE-02,2003,968708.401115,
'S-GRAVENZANDE-02,2004,940385.565318505,-28322.83579649497
'S-GRAVENZANDE-02,2005,416512.66121393,-523872.90410457505
'S-GRAVENZANDE-02,2006,314490.00972572505,-102022.65148820495
'S-GRAVENZANDE-02,2007,490394.6828793551,175904.67315363005
'S-GRAVENZANDE-02,2008,324082.704162335,-166311.97871702007
'S-GRAVENZANDE-02,2009,258638.99610800002,-65443.708054335
'S-GRAVENZANDE-02,2010,203045.99887555,-55592.99723245003
'S-GRAVENZANDE-02,2011,118279.908576265,-84766.09029928499
'S-GRAVENZANDE-02,2012,164373.80870548,46093.900129215006
'S-GRAVENZANDE-02,2013,101129.05198017499,-63244.75672530502
'S-GRAVENZANDE-02,2014,64956.53670327001,-36172.51527690498
'S-GRAVENZANDE-02,2015,27189.858141410004,-37766.678561860004
'S-GRAVENZANDE-02,2016,58531.257256525,31341.399115114997
'S-GRAVENZANDE-02,2017,41551.77476693,-16979.482489595
'S-GRAVENZANDE-02,2018,38986.92089557499,-2564.853871355008
'S-GRAVENZANDE-02,2019,41025.147485035,2038.226589460006
'S-GRAVENZANDE-02,2020,7995.782043165,-33029.36544187
'S-GRAVENZANDE-02,2021,14506.379,6510.596956835001
'S-GRAVENZANDE-03,2005,51114.779675779995,
'S-GRAVENZANDE-03,2006,85802.355457,1149223.8950835476
'S-GRAVENZANDE-03,2007,97757.87171874,97464.86949101696
'S-GRAVENZANDE-03,2008,106779.8465912,-254113.46065938263
'S-GRAVENZANDE-03,2009,68165.27165877001,-127713.16843435005
'S-GRAVENZANDE-03,2010,117950.09784083499,-327309.9919079399
'S-GRAVENZANDE-03,2011,23830.748217404995,-115863.64686706517
'S-GRAVENZANDE-03,2012,0.0,-36877.96436519467
'S-GRAVENZANDE-03,2013,13244.693071045,-81938.88750675024
'S-GRAVENZANDE-03,2014,21420.976345285002,-136037.30332041503
'S-GRAVENZANDE-03,2015,2.1488618550000003,-21109.996897519915
'S-GRAVENZANDE-03,2016,0.0,78589.57668818004
'S-GRAVENZANDE-03,2017,0.0,53136.12551540992
'S-GRAVENZANDE-03,2018,0.0,-6169.46466907498
'S-GRAVENZANDE-03,2019,0.0,-50299.42030812497
'S-GRAVENZANDE-03,2020,0.0,
'S-GRAVENZANDE-03,2021,0.0,536505.876230165
'S-GRAVENZANDE-04,2006,162189.287558735,146641.31944956502
'S-GRAVENZANDE-04,2007,348951.9993186,7653.768051014864
'S-GRAVENZANDE-04,2008,135309.63772222502,-4780.775617989828
'S-GRAVENZANDE-04,2009,51021.863817495,-57422.08586824522
'S-GRAVENZANDE-04,2010,17682.344926305,-263110.15506745985
'S-GRAVENZANDE-04,2011,2850.6714865400004,
'S-GRAVENZANDE-04,2012,0.0,0.0
'S-GRAVENZANDE-04,2013,40.508736,0.0
'S-GRAVENZANDE-04,2014,0.0,0.0
'S-GRAVENZANDE-04,2015,0.0,0.0
'S-GRAVENZANDE-04,2016,0.0,0.0
'S-GRAVENZANDE-04,2017,19584.19948897,
'S-GRAVENZANDE-04,2018,166.848521145,44150.49140978523
'S-GRAVENZANDE-04,2019,0.0,-55965.20078207005
'S-GRAVENZANDE-04,2020,0.0,-165616.28548264992
'S-GRAVENZANDE-04,2021,4.127,33661.157200114976
'T ZANDT-01,2003,0.0,-42846.87175921479
'T ZANDT-01,2004,0.0,-44072.530026540335
'T ZANDT-01,2005,0.0,77272.23892295035
'T ZANDT-01,2006,0.0,-72217.91224139521
'T ZANDT-01,2007,0.0,-53628.969144429895
'T ZANDT-01,2008,0.0,-8797.13345410506
'T ZANDT-01,2009,0.0,-9393.448420900095
'T ZANDT-01,2010,0.0,-37623.34831572499
'T ZANDT-01,2011,230241.01238656498,-572.2481359850208
'T ZANDT-01,2012,184964.54373763505,-20471.079188449832
'T ZANDT-01,2013,0.0,-14165.107463460037
'T ZANDT-01,2014,39.36204339500001,-31977.764984799956
'T ZANDT-01,2015,0.0,35595.87236502988
'T ZANDT-02,2003,521564.74481,-95004.85821315493
'T ZANDT-02,2004,171556.67324964498,
'T ZANDT-02,2005,192004.08225532502,-14863.606771730003
'T ZANDT-02,2006,319545.24996367004,-54883.28312281502
'T ZANDT-02,2007,22.424328155,14351.787331689993
'T ZANDT-02,2008,183727.54724389,-31157.440927585005
'T ZANDT-02,2009,386305.494047835,61497.19719528503
'T ZANDT-02,2010,541926.928287745,-70487.01087413996
'T ZANDT-02,2011,414323.333874445,-2508.869532305078
'T ZANDT-02,2012,488318.430823805,28465.87066643001
'T ZANDT-02,2013,639560.63334624,-19855.906561115
'T ZANDT-02,2014,56015.732265485,-43267.76807540498
